fifo, 1, 0.843909
fifo, 2, 0.859277
fifo, 3, 0.881981
fifo, 4, 0.918136
fifo, 5, 0.944877
fifo, 6, 1.07379
fifo, 7, 1.24007
fifo, 8, 1.41143
fifo, 9, 1.57921
fifo, 10, 2.6531
fifo, 11, 1.92917
fifo, 12, 2.09564
fifo, 13, 2.49587
fifo, 14, 2.43352
fifo, 15, 2.60929
fifo, 16, 2.77916
fifo, 17, 2.94629
fifo, 18, 3.11281
fifo, 19, 3.44695
fifo, 20, 3.45883
fifo, 21, 3.62788
fifo, 22, 3.80597
fifo, 23, 3.96758
fifo, 24, 4.13745
fifo, 25, 4.43221
fifo, 26, 4.96222
fifo, 27, 4.80173
fifo, 28, 4.8204
fifo, 29, 5.38248
fifo, 30, 5.16553
fifo, 31, 5.34376
fifo, 32, 5.5112
rr, 1, 0.84775
rr, 2, 0.867367
rr, 3, 0.889854
rr, 4, 0.906164
rr, 5, 0.933409
rr, 6, 1.07419
rr, 7, 1.24641
rr, 8, 1.41439
rr, 9, 1.57916
rr, 10, 1.75028
rr, 11, 1.92611
rr, 12, 2.10147
rr, 13, 2.26842
rr, 14, 2.43828
rr, 15, 2.60756
rr, 16, 2.78447
rr, 17, 2.95689
rr, 18, 3.11631
rr, 19, 3.29462
rr, 20, 3.46226
rr, 21, 3.62918
rr, 22, 4.53247
rr, 23, 3.98293
rr, 24, 4.96009
rr, 25, 4.32004
rr, 26, 4.87448
rr, 27, 4.65181
rr, 28, 4.8332
rr, 29, 6.30706
rr, 30, 5.16523
rr, 31, 6.16498
rr, 32, 5.51506
